network,nservices,loadfactor,nodesused,lpobj,obj,totpens,avpens,tppens,ltpens,time,miptime,cgtime
abilene,20,1,6,3.0,3.0,1.0,0.0,0.0,1.0,0.5724406242370605,0.0,0.5724406242370605
abilene,20,2,8,6.0,6.0,2.0,0.0,0.0,2.0,0.5973653793334961,0.0,0.5973653793334961
abilene,20,3,6,9.0,9.024239999999999,3.0119999999999996,0.0,0.011999999999999345,3.0,0.6387567520141602,0.01,0.6287567520141601
abilene,20,4,8,12.0,12.040400000000002,4.02,0.0,0.020000000000000018,4.0,0.7971615791320801,0.0,0.7971615791320801
abilene,20,5,9,15.0,15.0,5.0,0.0,0.0,5.0,0.7249007225036621,0.02,0.7049007225036621
abilene,50,1,11,13.199765262079955,13.200000000000003,5.0,0.0,0.0,5.0,1.9223153591156006,0.05,1.8723153591156005
abilene,50,2,11,19.198591572479728,36.17001903164382,18.401,0.0,8.401,10.0,2.74306058883667,0.39,2.35306058883667
abilene,50,3,12,39.59929578623986,68.41256000000001,29.228,0.0,16.628,12.600000000000001,3.2136788368225098,0.8,2.41367883682251
abilene,50,4,12,23.995305241599084,47.12495851078926,31.447999981843328,0.0,11.447999981843326,20.0,6.170596599578857,3.09,3.0805965995788576
abilene,50,5,12,25.0,55.301462499999985,39.010625,0.0,14.010624999999997,25.0,7.156683921813965,3.17,3.986683921813965
abilene,100,1,12,42.59929578623987,50.90095,20.097500000000004,0.0,4.897500000000003,15.2,4.6548380851745605,0.24,4.41483808517456
abilene,100,2,12,38.392488386558526,38.4,32.0,0.0,3.3306690738754696e-16,32.0,6.34672999382019,0.62,5.72672999382019
abilene,100,3,12,50.15624989347978,71.42202,59.001000000000005,0.0,11.001,48.0,453.7771441936493,443.39,10.387144193649306
abilene,100,4,12,149.7805493085672,167.05635999999998,115.018,0.0,51.01800000000001,64.0,162.84445476531982,149.94,12.904454765319826
abilene,100,5,12,252.66863478127374,265.5875,171.875,0.0,91.87499999999999,80.0,77.23946118354797,65.88,11.359461183547978
abilene,200,1,12,18.99647893119931,19.082819999999977,16.04099999999999,0.0,0.040999999999990655,16.0,24.46810030937195,13.36,11.108100309371949
abilene,200,2,12,140.4328342074549,151.77391999999998,91.09599999999999,0.0,59.09600000000001,32.0,318.8532626628876,284.41,34.44326266288755
abilene,200,3,12,338.3477538398135,346.4308800000001,195.14400000000012,0.0,147.14400000000003,48.0,68.783442735672,51.32,17.463442735671997
abilene,200,4,12,529.0012639624397,542.7448816666667,301.0024166666667,0.0,237.0024166666667,64.0,51.82789945602417,35.12,16.707899456024172
abilene,200,5,12,726.4238176832072,737.0758999999998,404.2949999999999,0.0,324.29499999999996,80.0,51.61490225791931,33.52,18.09490225791931
nobeleu,300,1,30,93.0,100.88821833333336,33.86008333333334,2.0,5.88841666666627,25.971666666667073,44.8866810798645,9.1,35.7866810798645
